"Prefix","Number","Title","Hours","Description","Unk","Taught"
"HUHI","7330","The History of Hermeneutics","3","Studies in the history of hermeneutics as a biblical-philological method and its transformation by the modern German tradition into a philosophical approach to language and experience. Focus on the work of Schleiermacher, Dilthey, Heidegger, and Gadamer.","3-0","T"
"HUHI","7332","Topics in Recent Continental Philosophy","3","Close textual study of the works of leading continental philosophers such as Nietzsche, Derrida, Foucault, Heidegger, Husserl, and others. (May be repeated for credit as topics vary to a maximum of 6 credit hours.)","3-0","R"
"HUHI","7335","Philosophical Topics in the Analytic Tradition","3","Examination of philosophical issues arising from or inspired by the works of Russell, Wittgenstein, Frege, Carnap, and their heirs, including Popper, Quine, and Sellars. (May be repeated for credit as topics vary to a maximum of 6 credit hours.)","3-0","R"
"HUHI","7340","New Currents in the History of Ideas","3","Exploration of significant recent approaches that represent major disciplinary and interdisciplinary contributions to the field. With emphasis on theory and method, focus falls upon critical study of new interests that include ""new"" social and cultural histories, mentalities, poststructuralism, feminism, critical theory, institutionalist history, hermeneutics, among others. (May be repeated for credit as topics vary to maximum of 6 credit hours.)","3-0","R"
"HUHI","7368","Topics in Thought and Society","3","Studies in ideas, institutions, and applied history. The approach may be comparative or limited to a single cultural or geographical area. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","3-0","R"
"HUHI","7387","Science and Technology in Western Culture","3","Topics will vary but may include consideration of the philosophical or historical basis for the evolution of scientific thought; the problem of conceptual change in the study of the fundamental character of technology and its impact on culture. (May be repeated for credit to a maximum of 6 credit hours.)","3-0","R"
"HUHI","7391","Women in European Society","3","A historical examination of the varied experiences of European women, focusing on work, family life, political action, sexuality, and cultural expression. May emphasize early modern or modern period. (May be repeated for credit as topics vary to a maximum of 6 credit hours.)","3-0","R"
"HUHI","7393","Feminist Methodologies","3","An investigation of the various types of feminist methodologies and their application to philosophical and historical issues. Methodologies to be addressed may include Marxist and socialist feminism, phenomenological feminisms, liberal feminism, and radical feminism. (May be repeated for credit to a maximum of 6 credit hours.)","3-0","R"
"HUHI","7397","Women in American Society","3","A historical examination of the varied experiences of American women, focusing on work, family life, political action, sexuality, and cultural expression. May emphasize early modern or modern period. (May be repeated for credit as topics vary to a maximum of 6 credit hours.)","3-0","R"
"HUHI","7399","Advanced Special Topics in the History of Ideas","3","Independent studies course that may count toward minimum course requirements for the Ph.D. degree. (May be repeated for credit to a maximum of 9 hours.)","3-0","R"
"HUHI","8303","Independent Readings in History of Ideas","3","(May be repeated for credit.)","3-0","R"
"HUHI","8305","Independent Research in History of Ideas","3","(May be repeated for credit.)","3-0","R"
"HUMA","1301","Exploration of the Humanities","3","An introduction to the concept of cultural tradition through the study of selected works of literature, philosophy, music, and visual art. Emphasis on the relations among various forms of cultural expression and developing students' ability to interpret complex artistic works in their historical, cultural, and intellectual contexts. General education core course.","3-0","S"
"HUMA","3300","Reading and Writing Texts","3","Focuses on a significant topic or issue through which students are offered an opportunity to gain experience in various analytic and interpretive approaches. Explores connections among artistic and intellectual endeavors appropriate to a range of courses in the Arts and Humanities. This course is a requirement for all AHST, AP, HIST, and LIT majors and should be taken prior to completing first 12 hours of upper-division course work. Prerequisite: HUMA 1301 or equivalency.","3-0","S"
"HUMA","4399","Senior Honors in Arts and Humanities","3","Intended for students conducting independent research for honors theses or projects. Signature of instructor on proposed project outline required.","3-0","R"
"HUMA","6300","Interdisciplinary Approaches to the Arts and Humanities","3","Introduction to interdisciplinary approaches to the arts and humanities, including concepts of inquiry and interpretation that form the theoretical bases of the graduate programs, seminars, workshops, and studios. Required of all degree candidates for the Master of Arts, Master of Arts in Teaching, and Doctor of Philosophy in Humanities. ","3-0","S"
"HUMA","6320","French Review","3","Intensive grammar review to assist students in moving from intermediate to advanced work with foreign-language texts. Prerequisite: intermediate proficiency (usually equivalent to four semesters of undergraduate courses). The courses do not meet the language requirement or count in degree plans, but they are offered to help students prepare for the textual interpretation and translation undertaken in the language workshops. Graded on a pass/fail basis.","3-0","Y"
